Region,code,Year,Category,Count
서울특별시,11,2017,계,901
부산광역시,26,2017,계,248
대구광역시,27,2017,계,214
인천광역시,28,2017,계,85
광주광역시,29,2017,계,198
대전광역시,30,2017,계,107
울산광역시,31,2017,계,18
세종특별자치시,36,2017,계,4
경기도,41,2017,계,536
강원도,42,2017,계,45
충청북도,43,2017,계,48
충청남도,44,2017,계,58
전라북도,45,2017,계,98
전라남도,46,2017,계,45
경상북도,47,2017,계,55
경상남도,48,2017,계,120
제주특별자치도,50,2017,계,9
서울특별시,11,2017,도매상,623
부산광역시,26,2017,도매상,242
대구광역시,27,2017,도매상,206
인천광역시,28,2017,도매상,73
광주광역시,29,2017,도매상,193
대전광역시,30,2017,도매상,102
울산광역시,31,2017,도매상,18
세종특별자치시,36,2017,도매상,1
경기도,41,2017,도매상,449
강원도,42,2017,도매상,43
충청북도,43,2017,도매상,34
충청남도,44,2017,도매상,43
전라북도,45,2017,도매상,92
전라남도,46,2017,도매상,42
경상북도,47,2017,도매상,51
경상남도,48,2017,도매상,119
제주특별자치도,50,2017,도매상,6
서울특별시,11,2017,제조사,123
부산광역시,26,2017,제조사,5
대구광역시,27,2017,제조사,7
인천광역시,28,2017,제조사,9
광주광역시,29,2017,제조사,2
대전광역시,30,2017,제조사,5
울산광역시,31,2017,제조사,0
세종특별자치시,36,2017,제조사,3
경기도,41,2017,제조사,71
강원도,42,2017,제조사,2
충청북도,43,2017,제조사,14
충청남도,44,2017,제조사,14
전라북도,45,2017,제조사,5
전라남도,46,2017,제조사,3
경상북도,47,2017,제조사,4
경상남도,48,2017,제조사,1
제주특별자치도,50,2017,제조사,3
서울특별시,11,2017,수입사,155
부산광역시,26,2017,수입사,1
대구광역시,27,2017,수입사,1
인천광역시,28,2017,수입사,3
광주광역시,29,2017,수입사,3
대전광역시,30,2017,수입사,0
울산광역시,31,2017,수입사,0
세종특별자치시,36,2017,수입사,0
경기도,41,2017,수입사,16
강원도,42,2017,수입사,0
충청북도,43,2017,수입사,0
충청남도,44,2017,수입사,1
전라북도,45,2017,수입사,1
전라남도,46,2017,수입사,0
경상북도,47,2017,수입사,0
경상남도,48,2017,수입사,0
제주특별자치도,50,2017,수입사,0
서울특별시,11,2018,계,992
부산광역시,26,2018,계,288
대구광역시,27,2018,계,256
인천광역시,28,2018,계,106
광주광역시,29,2018,계,236
대전광역시,30,2018,계,128
울산광역시,31,2018,계,22
세종특별자치시,36,2018,계,4
경기도,41,2018,계,617
강원도,42,2018,계,51
충청북도,43,2018,계,59
충청남도,44,2018,계,66
전라북도,45,2018,계,114
전라남도,46,2018,계,52
경상북도,47,2018,계,65
경상남도,48,2018,계,146
제주특별자치도,50,2018,계,9
서울특별시,11,2018,도매상,711
부산광역시,26,2018,도매상,279
대구광역시,27,2018,도매상,248
인천광역시,28,2018,도매상,94
광주광역시,29,2018,도매상,229
대전광역시,30,2018,도매상,123
울산광역시,31,2018,도매상,22
세종특별자치시,36,2018,도매상,1
경기도,41,2018,도매상,524
강원도,42,2018,도매상,49
충청북도,43,2018,도매상,40
충청남도,44,2018,도매상,51
전라북도,45,2018,도매상,108
전라남도,46,2018,도매상,49
경상북도,47,2018,도매상,60
경상남도,48,2018,도매상,145
제주특별자치도,50,2018,도매상,6
서울특별시,11,2018,제조사,125
부산광역시,26,2018,제조사,7
대구광역시,27,2018,제조사,7
인천광역시,28,2018,제조사,9
광주광역시,29,2018,제조사,4
대전광역시,30,2018,제조사,5
울산광역시,31,2018,제조사,0
세종특별자치시,36,2018,제조사,3
경기도,41,2018,제조사,76
강원도,42,2018,제조사,2
충청북도,43,2018,제조사,19
충청남도,44,2018,제조사,14
전라북도,45,2018,제조사,5
전라남도,46,2018,제조사,3
경상북도,47,2018,제조사,5
경상남도,48,2018,제조사,1
제주특별자치도,50,2018,제조사,3
서울특별시,11,2018,수입사,156
부산광역시,26,2018,수입사,2
대구광역시,27,2018,수입사,1
인천광역시,28,2018,수입사,3
광주광역시,29,2018,수입사,3
대전광역시,30,2018,수입사,0
울산광역시,31,2018,수입사,0
세종특별자치시,36,2018,수입사,0
경기도,41,2018,수입사,17
강원도,42,2018,수입사,0
충청북도,43,2018,수입사,0
충청남도,44,2018,수입사,1
전라북도,45,2018,수입사,1
전라남도,46,2018,수입사,0
경상북도,47,2018,수입사,0
경상남도,48,2018,수입사,0
제주특별자치도,50,2018,수입사,0
서울특별시,11,2019,계,1006
부산광역시,26,2019,계,314
대구광역시,27,2019,계,263
인천광역시,28,2019,계,111
광주광역시,29,2019,계,254
대전광역시,30,2019,계,144
울산광역시,31,2019,계,23
세종특별자치시,36,2019,계,5
경기도,41,2019,계,679
강원도,42,2019,계,53
충청북도,43,2019,계,67
충청남도,44,2019,계,72
전라북도,45,2019,계,112
전라남도,46,2019,계,60
경상북도,47,2019,계,69
경상남도,48,2019,계,149
제주특별자치도,50,2019,계,9
서울특별시,11,2019,도매상,737
부산광역시,26,2019,도매상,307
대구광역시,27,2019,도매상,256
인천광역시,28,2019,도매상,98
광주광역시,29,2019,도매상,248
대전광역시,30,2019,도매상,139
울산광역시,31,2019,도매상,23
